============================= test session starts ==============================
platform darwin -- Python 3.13.11, pytest-9.0.2, pluggy-1.6.0 -- /Users/francois-jeandazin/AETHERFLOW/venv/bin/python3.13
cachedir: .pytest_cache
rootdir: /Users/francois-jeandazin/AETHERFLOW/Backend/Prod
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
2026-02-08 23:49:38.672 | ERROR    | Backend.Prod.api:preview_component:877 - Error generating preview for component 'nonexistent_component': No module named 'your_module'
______________________________ test_preview_list _______________________________
Backend/Prod/tests/test_api_preview.py:107: in test_preview_list
    assert "Composants disponibles" in html_content or "composants" in html_content.lower()
E   assert ('Composants disponibles' in '<html><body><p>No components yet.</p>\n    <!-- Sullivan Agent Widget -->\n    <script src="/js/sullivan-super-widget.js"></script>\n</body></html>' or 'composants' in '<html><body><p>no components yet.</p>\n    <!-- sullivan agent widget -->\n    <script src="/js/sullivan-super-widget.js"></script>\n</body></html>')
E    +  where '<html><body><p>no components yet.</p>\n    <!-- sullivan agent widget -->\n    <script src="/js/sullivan-super-widget.js"></script>\n</body></html>' = <built-in method lower of str object at 0x11ab462b0>()
E    +    where <built-in method lower of str object at 0x11ab462b0> = '<html><body><p>No components yet.</p>\n    <!-- Sullivan Agent Widget -->\n    <script src="/js/sullivan-super-widget.js"></script>\n</body></html>'.lower
---------------------------- Captured stderr setup -----------------------------
2026-02-08 23:49:38.680 | INFO     | Backend.Prod.sullivan.cache.local_cache:__init__:21 - LocalCache initialized at /Users/francois-jeandazin/.aetherflow/components
2026-02-08 23:49:38.681 | INFO     | Backend.Prod.sullivan.library.elite_library:__init__:41 - EliteLibrary initialized at components/elite
2026-02-08 23:49:38.681 | ERROR    | Backend.Prod.sullivan.intent_translator:_load_mappings:245 - Error parsing star_mappings.json: Extra data: line 98 column 1 (char 3534)
2026-02-08 23:49:38.682 | INFO     | Backend.Prod.sullivan.registry:__init__:36 - ComponentRegistry initialized with LocalCache, EliteLibrary, KnowledgeBase, and STAR
2026-02-08 23:49:38.682 | DEBUG    | Backend.Prod.sullivan.cache.local_cache:save:75 - Saved component component_test_preview to cache for user test_user
----------------------------- Captured stderr call -----------------------------
2026-02-08 23:49:38.688 | ERROR    | Backend.Prod.api:preview_list:934 - Error generating preview list: No module named 'your_module'
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_api_preview.py:144: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_api_preview.py:152: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_api_preview.py:160: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_api_preview.py:168: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_api_preview.py:180: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_api_preview.py:188: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_api_preview.py:196: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_api_preview.py:207: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_api_preview.py:215: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_backend_analyzer.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_backend_analyzer.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_backend_analyzer.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_backend_analyzer.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_backend_analyzer.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_backend_analyzer.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_backend_analyzer.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_backend_analyzer.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_backend_analyzer.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_categories.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_categories.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_component_model.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_component_model.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_design_analyzer.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_design_analyzer.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_design_analyzer.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_design_analyzer.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_design_analyzer.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_design_analyzer.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_design_analyzer.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_design_analyzer.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_design_analyzer.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_designer_mode.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_designer_mode.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_designer_mode.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_designer_mode.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_designer_mode.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_designer_mode.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_designer_mode.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_designer_mode.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_designer_mode.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_dev_mode.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_dev_mode.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_dev_mode.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_dev_mode.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_dev_mode.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_dev_mode.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_dev_mode.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_dev_mode.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_dev_mode.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_elite_library.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_elite_library.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
___________________ test_groq_rate_limit_fallback_to_gemini ____________________
Backend/Prod/tests/test_groq_fallback.py:17: in test_groq_rate_limit_fallback_to_gemini
    step = Step(
E   TypeError: Step.__init__() got an unexpected keyword argument 'id'
__________________ test_groq_rate_limit_fallback_to_deepseek ___________________
Backend/Prod/tests/test_groq_fallback.py:92: in test_groq_rate_limit_fallback_to_deepseek
    step = Step(
E   TypeError: Step.__init__() got an unexpected keyword argument 'id'
________________________ test_groq_success_no_fallback _________________________
Backend/Prod/tests/test_groq_fallback.py:165: in test_groq_success_no_fallback
    step = Step(
E   TypeError: Step.__init__() got an unexpected keyword argument 'id'
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_knowledge_base.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_knowledge_base.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_performance_evaluator.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_performance_evaluator.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_performance_evaluator.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_performance_evaluator.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_performance_evaluator.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_performance_evaluator.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_performance_evaluator.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_performance_evaluator.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_performance_evaluator.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_rag_integration.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_rag_integration.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_refinement.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_refinement.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_screenshot_util.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_screenshot_util.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_sharing_tui.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_sharing_tui.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_sullivan_auditor.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_sullivan_auditor.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
______________________________ test_audit_results ______________________________
Backend/Prod/tests/test_sullivan_score.py:91: in test_audit_results
    results = auditor.audit()
              ^^^^^^^^^^^^^
E   AttributeError: 'SullivanAuditor' object has no attribute 'audit'
___________________________ test_screenshot_capture ____________________________
Backend/Prod/tests/test_sullivan_score.py:97: in test_screenshot_capture
    screenshot_util.capture_screenshot("test_screenshot.png")
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E   AttributeError: module 'Backend.Prod.sullivan.auditor.screenshot_util' has no attribute 'capture_screenshot'. Did you mean: 'capture_html_screenshot'?
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_ui_inference_engine.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_ui_inference_engine.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_ui_inference_engine.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_ui_inference_engine.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_ui_inference_engine.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_ui_inference_engine.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_ui_inference_engine.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_ui_inference_engine.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_ui_inference_engine.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________________ test_preview_empty_component _________________________
Backend/Prod/tests/test_validation_evaluator.py:42: in test_preview_empty_component
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_special_chars ___________________
Backend/Prod/tests/test_validation_evaluator.py:50: in test_preview_component_with_special_chars
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
___________________ test_preview_component_with_missing_file ___________________
Backend/Prod/tests/test_validation_evaluator.py:58: in test_preview_component_with_missing_file
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
__________________ test_preview_component_with_corrupted_json __________________
Backend/Prod/tests/test_validation_evaluator.py:66: in test_preview_component_with_corrupted_json
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_multiple_components ________________
Backend/Prod/tests/test_validation_evaluator.py:78: in test_preview_component_with_multiple_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
____________________ test_preview_component_with_xss_attack ____________________
Backend/Prod/tests/test_validation_evaluator.py:86: in test_preview_component_with_xss_attack
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_invalid_user_id __________________
Backend/Prod/tests/test_validation_evaluator.py:94: in test_preview_component_with_invalid_user_id
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_______________ test_preview_component_with_duplicate_components _______________
Backend/Prod/tests/test_validation_evaluator.py:105: in test_preview_component_with_duplicate_components
    response = orchestrator.preview(components)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
_________________ test_preview_component_with_dynamic_base_url _________________
Backend/Prod/tests/test_validation_evaluator.py:113: in test_preview_component_with_dynamic_base_url
    response = orchestrator.preview(component)
               ^^^^^^^^^^^^
E   NameError: name 'orchestrator' is not defined
=============================== warnings summary ===============================
venv/lib/python3.13/site-packages/fastapi/dependencies/utils.py:94
  /Users/francois-jeandazin/AETHERFLOW/venv/lib/python3.13/site-packages/fastapi/dependencies/utils.py:94: PendingDeprecationWarning: Please use `import python_multipart` instead.
    from multipart import __version__  # type: ignore

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
=========================== short test summary info ============================
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_empty_component
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_special_chars
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_missing_file
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_corrupted_json
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_multiple_components
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_xss_attack
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_invalid_user_id
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_duplicate_components
FAILED Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_dynamic_base_url
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_exists
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_not_found
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_list - assert ('C...
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_empty_component
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_special_chars
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_missing_file
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_corrupted_json
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_multiple_components
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_xss_attack
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_invalid_user_id
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_duplicate_components
FAILED Backend/Prod/tests/test_api_preview.py::test_preview_component_with_dynamic_base_url
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_empty_component
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_special_chars
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_missing_file
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_corrupted_json
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_multiple_components
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_xss_attack
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_invalid_user_id
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_duplicate_components
FAILED Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_dynamic_base_url
FAILED Backend/Prod/tests/test_categories.py::test_audit_results - AttributeE...
